Aduanas;Es Almacenadora
Aduana Tecún Umán 1;
Aduana Integrada Agua Caliente;
Aduana Integrada Corinto;
Aduana Integrada El Florido;
Aduana Puerto Quetzal;
Aduana Santo Tomas De Castilla;
Aduana Express Aereo;
Aduana Central;
Aduana Tecun Uman;
Aduana Puerto Barrios;
Aduana Pedro De Alvarado;
Aduana San Cristobal;
Aduana Almacenadora Integrada (almacenadora);Sí
Aduana Agua Caliente;
Aduana El Florido;
Aduana Alpasa (almacenadora);Sí
Aduana Centralsa (almacenadora);Sí
Aduana La Ermita;
Aduana El Carmen;
Aduana Valle Nuevo;
Aduana Alcorsa (almacenadora);Sí
Aduana Alminter (almacenadora);Sí
Aduana Alsersa (almacenadora);Sí
Aduana Cealsa (almacenadora);Sí
Aduana Almaguate (almacenadora);Sí
Aduana Central De Aviacion;
Aduana Melchor De Mencos;
Aduana Fardos Postales;
El Ceibo;
Aduana La Mesilla;
Tikal;
